valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release date,speechiness,tempo
0.215,2020,0.31,['Steve Lacy'],0.826,178328,0.299,False,0f8eRy9A0n6zXpKSHSCAEp,0.0952,9,0.0758,-7.721,1,Infrunami,79,2020-12-04,0.0446,97.012
0.483,2020,0.00327,['Lil Baby'],0.856,135960,0.564,True,4Iedi94TIaB2GGb1nMB68v,0,6,0.134,-6.295,0,On Me,78,2020-12-04,0.392,77.972
0.32,2020,0.92,['Taylor Swift'],0.462,244000,0.24,True,0sY6ZUTh4yoctD8VIXz339,0,0,0.113,-12.077,1,champagne problems,81,2020-12-11,0.0377,171.319
0.0804,2020,0.00336,['Juice WRLD'],0.65,194621,0.613,True,2U5WueTLIK5WJLD7mvDODv,0,9,0.267,-6.13,0,Wishing Well,80,2020-07-10,0.128,149.972
0.143,2020,0.0811,['The Weeknd'],0.664,361027,0.572,False,2p8IUWQDrpjuFltbdgLOag,0.00604,5,0.121,-6.099,0,After Hours,87,2020-03-20,0.0305,108.959
0.519,2020,0.166,['Fujii Kaze'],0.6,185573,0.76,False,0o9zmvc5f3EFApU52PPIyW,4.09e-05,6,0.189,-6.124,0,Shinunoga E-Wa,87,2020-05-20,0.0452,158.078
0.915,2020,0.00883,"['Dua Lipa', 'DaBaby']",0.702,203064,0.825,False,5nujrmhLynf4yMoMtj8AQF,0,6,0.0674,-3.787,0,Levitating (feat. DaBaby),85,2020-03-27,0.0601,102.977
0.322,2020,0.868,['Noah Cyrus'],0.708,156106,0.186,False,6J2LdBN97cDWn0MLxYh9HB,0,9,0.0779,-8.953,0,July,81,2020-05-15,0.042,72.541
0.108,2020,0.00534,['Playboi Carti'],0.684,135122,0.693,True,1BpKJw4RZxaFB88NE5uxXf,0,4,0.506,-6.651,0,ILoveUIHateU,79,2020-12-25,0.0339,134.988
0.521,2020,0.408,['Ozzy Osbourne'],0.454,293183,0.913,False,7ACxUo21jtTHzy7ZEV56vU,0.000271,9,0.248,-4.008,1,Crazy Train,79,2020-09-18,0.107,137.688
0.535,2020,0.0172,"['Juice WRLD', 'Marshmello']",0.625,205485,0.814,True,2Y0wPrPQBrGhoLn14xRYCG,0,0,0.158,-5.181,1,Come & Go (with Marshmello),80,2020-07-10,0.0657,144.991
0.543,2020,0.65,['Pop Smoke'],0.709,160000,0.548,True,1tkg4EHVoqnhR6iFEXb60y,1.59e-06,10,0.133,-8.493,1,What You Know Bout Love,81,2020-07-03,0.353,83.995
0.347,2020,0.114,"['Pop Smoke', 'Lil Baby', 'DaBaby']",0.823,190476,0.586,True,0PvFJmanyNQMseIFrU708S,0,6,0.193,-6.606,0,For The Night (feat. Lil Baby & DaBaby),81,2020-07-03,0.2,125.971
0.522,2020,0.244,"['Drake', 'Lil Durk']",0.761,261493,0.518,True,2SAqBLGA283SUiwJ3xOUVI,3.47e-05,0,0.107,-8.871,1,Laugh Now Cry Later (feat. Lil Durk),80,2020-08-14,0.134,133.976
0.357,2020,0.0194,"['Cardi B', 'Megan Thee Stallion']",0.935,187541,0.454,True,4Oun2ylbjFKMPTiaSbbCih,0,1,0.0824,-7.509,1,WAP (feat. Megan Thee Stallion),81,2020-08-07,0.375,133.073
0.0823,2020,0.785,['Tate McRae'],0.667,169266,0.373,True,45bE4HXI0AwGZXfZtMp8JR,0,4,0.0906,-9.389,1,you broke me first,84,2020-04-17,0.05,124.148
0.35,2020,0.524,['Don Toliver'],0.652,154424,0.631,False,7AzlLxHn24DxjgQX73F9fU,0.000579,6,0.165,-5.718,0,No Idea,81,2020-03-13,0.0893,127.998
0.641,2020,0.00599,['Playboi Carti'],0.642,124094,0.69,True,4CzhtKifG867Lu5DNQVBSA,1.3e-06,11,0.322,-5.101,1,Vamp Anthem,79,2020-12-25,0.261,164.075
0.538,2020,0.701,['Eyedress'],0.658,86739,0.447,False,7s5VQqrjBtrBgZL4pEa46S,0.924,9,0.198,-9.299,0,Romantic Lover,80,2020-08-07,0.0869,184.316
0.419,2020,0.269,"['Lil Durk', 'Lil Baby', 'Polo G']",0.846,169532,0.48,True,6Tguhaf2uAe6OjRLsR2Tql,0,8,0.0989,-8.618,0,3 Headed Goat (feat. Lil Baby & Polo G),76,2020-05-08,0.359,143.029
0.348,2020,0.731,"['Powfu', 'beabadoobee']",0.726,173333,0.431,False,7eJMfftS33KTjuF7lTsMCx,0,8,0.696,-8.765,0,death bed (coffee for your head),83,2020-02-08,0.135,144.026
0.0978,2020,0.556,['Selena Gomez'],0.488,206459,0.343,False,4l0Mvzj72xxOpRrp6h8nHi,0,4,0.21,-8.985,1,Lose You To Love Me,83,2020-01-10,0.0436,102.819
